,ZZ.S.PIZZA...GRILL,X1.RICHMOND.TERRACE.STATEN.ISLAND.NY.10301,X.74.0751202,X40.642211
1386,U.S. KENNEDY FRIED CHICKEN PIZZA,"1335 PROSPECT AVE,BRONX NY,10459",-73.897884,40.8292072
1387,U.S KENNEDY FRIED CHICKEN,"1761 UNIVERSITY AVENUE,BRONX NY,10453",-73.9159157,40.850446
1388,U.S FRIED CHICKEN,"3738 3 AVENUE,BRONX NY,10456",-73.902488,40.8360119
1389,U.N. FEDERAL CREDIT UNION,"2401 44 ROAD,QUEENS NY,11101",-73.9433231,40.7484785
1390,U-ME SUSHI,"8509 JAMAICA AVE,QUEENS NY,11421",-73.8514709,40.6939309
1391,U WAY,"74 5 AVENUE,MANHATTAN NY,10011",-73.9942134,40.7356929
1392,U LIKE CHINESE TAKE OUT,"4926 BROADWAY,MANHATTAN NY,10034",-73.9213978,40.8673551
1393,U LIKE CHINESE RESTAURANT,"602 MARCY AVENUE,BROOKLYN NY,11206",-73.9492363,40.6940078
1394,U IZIKA,"200 NEPTUNE AVE,BROOKLYN NY,11235",-73.9606874,40.5815417
1395,U BO SING,"151 AVENUE U,BROOKLYN NY,11223",-73.9788129,40.5965465
1396,U BEE FAST FOOD,"3105 CHURCH AVE,BROOKLYN NY,11226",-73.9483904,40.6508995
1397,U & I RESTAURANT,"4409 18 AVENUE,BROOKLYN NY,11204",-73.9771676,40.6307207
1398,TYGERSHARK,"581 VANDERBILT AVE,BROOKLYN NY,11238",-73.967589,40.680299
1399,TY'S,"114 CHRISTOPHER STREET,MANHATTAN NY,10014",-74.0053105,40.7330441
1400,TXIKITO,"240 9 AVENUE,MANHATTAN NY,10001",-74.0003123,40.747341
1401,TWOSHA'S,"2576 THIRD AVE,BRONX NY,10454",-73.9260719,40.8114777
1402,TWO8TWO BAR & BURGER,"282 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9897082,40.6885584
1403,TWO-BITS RETRO ARCADE,"153 ESSEX STREET,MANHATTAN NY,10002",-73.9872586,40.7208577
1404,TWO TOM'S RESTAURANT II,"255 3 AVENUE,BROOKLYN NY,11215",-73.9853618,40.6780678
1405,TWO TABLESPOONS,"230 PARK AVE,MANHATTAN NY,10169",-73.9761194,40.7543951
1406,TWO STEPS DOWN,"240 DE KALB AVENUE,BROOKLYN NY,11205",-73.9695425,40.6893228
1407,TWO SCOOPS RESTAURANT,"1745 FULTON STREET,BROOKLYN NY,11233",-73.9294299,40.6793057
1408,TWO SAINTS,"753 NOSTRAND AVE,BROOKLYN NY,11216",-73.950112,40.671747
1409,TWO LIZARDS MEXICAN RESTAURANT,"1365 1ST AVENUE,MANHATTAN NY,10021",-73.9555768,40.7688187
1410,TWO LIZARDS MEXICAN BAR & GRIL,"3502 DITMARS BLVD,QUEENS NY,11105",-73.9090125,40.7745992
1411,TWO HANDS TRIBECA,"251 CHURCH ST,MANHATTAN NY,10013",-74.0054175,40.7177931
1412,TWO HANDS,"164 MOTT ST,MANHATTAN NY,10013",-73.9959874,40.7196915
1413,TWO GUYS  COFFEE SHOP,"6002 FOSTER AVE,BROOKLYN NY,11236",-73.918947,40.640231
1414,TWO GRANDPA'S PIZZA,"1839 GRAND CONCOURSE,BRONX NY,10453",-73.9076794,40.8481249
1415,TWO DOOR TAVERN,"116 NORTH    5 STREET,BROOKLYN NY,11249",-73.9599461,40.7170862
1416,TWO BROTHERS PIZZA,"3039 BUHRE AVE,BRONX NY,10461",-73.8310993,40.84766
1417,TWO BOOTS,"1617 2 AVENUE,MANHATTAN NY,10028",-73.952983,40.7765639
1418,TWO BOOTS,"284 5TH AVE,BROOKLYN NY,11215",-73.9824143,40.6742098
1419,TWO BOOTS,"625 9 AVENUE,MANHATTAN NY,10036",-73.9918069,40.7599765
1420,TWO BOOTS,"42 AVENUE A,MANHATTAN NY,10009",-73.9849872,40.7237135
1421,TWO BOOTS,"2547 BROADWAY,MANHATTAN NY,10025",-73.9724926,40.7943506
1422,TWO BOOTS,"558 DRIGGS AVE,BROOKLYN NY,11211",-73.95677,40.7169773
1423,TWO BOOTS,"231 GRAND CENTRAL STATION,MANHATTAN NY,10017",-73.9772294,40.7527262
1424,TWO BOOTS,"75 GREENWICH AVENUE,MANHATTAN NY,10014",-74.0014332,40.7367065
1425,TWO BOOTS,"126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
1426,TWO BITES BAKE SHOP,"18124 UNION TURNPIKE,QUEENS NY,11366",-73.7864712,40.727255
1427,TWO 80 CAFE AND LOUNGE,"280 KNICKERBOCKER AVENUE,BROOKLYN NY,11237",-73.9242138,40.7019135
1428,TWISTED DISH TAVERN,"885 ANNADALE RD,STATEN ISLAND NY,10312",-74.176734,40.539992
1429,TWIST-IT,"3432 EAST TREMONT AVENUE,BRONX NY,10465",-73.8281302,40.8323513
1430,TWIST IT TOP IT FROZEN YOGURT,"15818 CROSSBAY BOULEVARD,QUEENS NY,11414",-73.8404569,40.6601657
1431,TWIST IT TOP IT FROZEN YOGURT,"10309 METROPOLITAN AVE,QUEENS NY,11375",-73.849422,40.710447
1432,TWIST IT TOP IT,"6602 FRESH POND ROAD,QUEENS NY,11385",-73.8950743,40.7021767
1433,TWIST AND SMASH'D SPORTS,"3402 STEINWAY ST,QUEENS NY,11101",-73.9212923,40.756577
1434,TWIST AND SMASH'D,"7206 AUSTIN ST,QUEENS NY,11375",-73.8425246,40.7190827
1435,TWINS PUB,"421 9 AVENUE,MANHATTAN NY,10001",-73.9968291,40.7531802
1436,TWIN SISTER PAN,"6319 8TH AVE,BROOKLYN NY,11220",-74.011445,40.6333585
1437,TWIN PONDS BAKERY/UPPER DECK LOUNGE,"23404 MERRICK BOULEVARD,QUEENS NY,11422",-73.736084,40.674133
1438,TWIN DRAGONS ASIAN CUISINE,"54 RICHMOND TER,STATEN ISLAND NY,10301",-74.0767941,40.644274
1439,TWIN DONUTS,"66 E 161ST ST,BRONX NY,10451",-73.9254272,40.8272598
1440,TWIN DONUT PLUS,"3396 JEROME AVE,BRONX NY,10467",-73.883576,40.8806933
1441,TWIN DONUT BLIMPIE,"196 EAST 161ST STREET,BRONX NY,10451",-73.921422,40.826254
1442,TWIN DONUT,"5099 BROADWAY,MANHATTAN NY,10034",-73.9146706,40.8711395
1443,TWIN DONUT,"1061 E TREMONT AVE,BRONX NY,10460",-73.8794571,40.8404251
1444,TWIN DONUT,"3 WEST FORDHAM ROAD,BRONX NY,10468",-73.9013089,40.8629457
1445,TUTU'S,"25 BOGART STREET,BROOKLYN NY,11206",-73.9331768,40.7041241
1446,TUTTO L'ITALIANO,"141 EAST SERVICE ROAD,STATEN ISLAND NY,10314",-74.1915638,40.588878
1447,tutto il giorno,"114 FRANKLIN ST,MANHATTAN NY,10013",-74.0059872,40.7187929
1448,TUTTLES,"735 2 AVENUE,MANHATTAN NY,10016",-73.973655,40.7482582
1449,TUTT HEIGHTS CAFE,"47 HICKS STREET,BROOKLYN NY,11201",-73.9932799,40.7002023
1450,TUTI'S PIZZERIA RESTAURANT,"34 W 183RD ST,BRONX NY,10453",-73.9052334,40.8587146
1451,TUSCANY GRILL,"8620 3 AVENUE,BROOKLYN NY,11209",-74.0315259,40.622942
1452,TUSCANY CAFE,"0 JFK AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
1453,TUSCAN HILLS,"11520 QUEENS BOULEVARD,QUEENS NY,11375",-73.8340859,40.7159829
1454,TUSCAN CAFE,"60-29 ROOSEVELT AVENUE,QUEENS NY,11377",-73.9036054,40.7457143
1455,TURTLE COVE GOLF CENTER,"1 CITY ISLAND RD,BRONX NY,10464",-73.8077667,40.8634281
1456,TURTLE BAY GRILL AND LOUNGE,"987 2 AVENUE,MANHATTAN NY,10022",-73.967798,40.756423
1457,TURQUOISE KOSHER FISH RESTAURANT,"18923 UNION TURNPIKE,QUEENS NY,11366",-73.7796952,40.7298266
1458,TURNTABLE 5060,"235 E 4TH ST,MANHATTAN NY,10009",-73.9826655,40.7234802
1459,TURNTABLE,"314 5 AVENUE,MANHATTAN NY,10001",-73.9859189,40.7471188
1460,TURNPIKE CAFE,"18720 UNION TPKE,QUEENS NY,11366",-73.7812888,40.7288973
1461,TURNMILL,"119 EAST 27 STREET,MANHATTAN NY,10016",-73.9835928,40.7425169
1462,TURMERIC NYC,"877 10TH AVE,MANHATTAN NY,10019",-73.9886707,40.7694349
1463,TURKUAZ TURKISH CUISINE,"2637 BROADWAY,MANHATTAN NY,10025",-73.970573,40.797339
1464,TURKS & FROGS,"323 WEST   11 STREET,MANHATTAN NY,10014",-74.0074023,40.7358481
1465,TURKISS,"104 MACDOUGAL STREET,MANHATTAN NY,10012",-74.0007563,40.7293396
1466,TURKISH KITCHEN,"386 3 AVENUE,MANHATTAN NY,10016",-73.9813585,40.741895
1467,TURKISH GRILL RESTAURANT & BAR,"4203 QUEENS BOULEVARD,QUEENS NY,11104",-73.9221448,40.74387
1468,TURKISH EXPRESS,"1013 AVENUE H,BROOKLYN NY,11230",-73.9665526,40.6296277
1469,TURKISH CUISINE,"631 9 AVENUE,MANHATTAN NY,10036",-73.9917041,40.7601202
1470,TURKEY'S NEST TAVERN,"94 BEDFORD AVENUE,BROOKLYN NY,11249",-73.9550624,40.7206107
1471,TUREY RESTAURANT,"268 TOMPKINS AVE,BROOKLYN NY,11216",-73.9451789,40.6888476
1472,TURCO,"604 9TH AVE,MANHATTAN NY,10036",-73.9917578,40.7591159
1473,TUOME,"536 E 5TH ST,MANHATTAN NY,10009",-73.982949,40.723998
1474,TUNG THONG THAI RESTAURANT,"561 WEST 169TH STREET,MANHATTAN NY,10032",-73.9385827,40.841572
1475,Tum & Yum,"917 COLUMBUS AVE,MANHATTAN NY,10025",-73.9632288,40.7983818
1476,TULSI RESTAURANT,"211 EAST   46 STREET,MANHATTAN NY,10017",-73.9718218,40.7532168
1477,TULCINGO RESTAURANT,"665 10 AVENUE,MANHATTAN NY,10036",-73.9935513,40.7627668
1478,TULCINGO RESTAURANT,"40364040 NATIONAL STREET,QUEENS NY,11368",-73.863497,40.747517
1479,TULCINGO RESTAURANT,"9558 ROOSEVELT AVE,QUEENS NY,11372",-73.8695539,40.749133
1480,TULCINGO BAKERY,"2483 JEROME AVENUE,BRONX NY,10468",-73.900762,40.863732
1481,TULCINGO,"5520 5 AVENUE,BROOKLYN NY,11220",-74.0138615,40.6420192
1482,TULCIMEX DELI RESTAURANT,"2559 BOSTON ROAD,BRONX NY,10467",-73.8636099,40.8647295
1483,TUK TUK,"4906 VERNON BLVD,QUEENS NY,11101",-73.9542183,40.7432267
1484,TUGBOAT TEA COMPANY,"546 FLATBUSH AVENUE,BROOKLYN NY,11225",-73.960717,40.660579
1485,TUFINO PIZZERIA NAPOLETANA,"3608 DITMARS BOULEVARD,QUEENS NY,11105",-73.9080459,40.7741048
1486,TUFFET,"286 GRAHAM AVENUE,BROOKLYN NY,11211",-73.943755,40.7121333
1487,TUE THAI FOOD,"3 GREENWICH AVENUE,MANHATTAN NY,10014",-73.9999408,40.7338794
1488,TUCK SHOP,"75 9TH AVE,MANHATTAN NY,10011",-74.0060838,40.7425547
1489,TUCK SHOP,"68 EAST    1 STREET,MANHATTAN NY,10003",-73.988797,40.723711
1490,TUBETEYKA,"2158 BATH AVE,BROOKLYN NY,11214",-73.9980008,40.5986998
1491,TU-LU'S GLUTEN-FREE BAKERY,"338 EAST   11 STREET,MANHATTAN NY,10003",-73.9846884,40.7295061
1492,TU SONRISA,"132 AUDUBON AVENUE,MANHATTAN NY,10032",-73.9369043,40.8429045
1493,TU SABOR LATINO,"3864 BROADWAY,MANHATTAN NY,10032",-73.9426229,40.8366155
1494,TU RANCHITO RESTAURANT,"635 BAY STREET,STATEN ISLAND NY,10304",-74.075379,40.626513
1495,TU KIOSKO CAFE,"839 KNICKERBOCKER AVENUE,BROOKLYN NY,11207",-73.9060488,40.6920923
1496,TU CASA RESTAURANT,"11905 METROPOLITAN AVENUE,QUEENS NY,11415",-73.831461,40.706283
1497,TU CASA RESTAURANT,"3010 STEINWAY STREET,QUEENS NY,11103",-73.9154483,40.7637147
1498,TU CASA,"10311 QUEENS BLVD,QUEENS NY,11375",-73.8478408,40.7225591
1499,TU CACHAPA,"4195 BROADWAY,MANHATTAN NY,10033",-73.9380171,40.8481895
1500,TU AREPA PIZZA CAFE,"10022 67TH AVE,QUEENS NY,11374",-73.8528757,40.7271987
1501,TSUSHIMA,"210 E 44TH ST,MANHATTAN NY,10017",-73.9727916,40.7516558
1502,TSUKUSHI RESTAURANT,"300 EAST   41 STREET,MANHATTAN NY,10017",-73.9724996,40.7488605
1503,TSUKIJI,"895 HUGUENOT AVE,STATEN ISLAND NY,10312",-74.1917571,40.5327722
1504,TSQ BRASSERIE,"723 7 AVENUE,MANHATTAN NY,10019",-73.9838059,40.7598196
1505,TSOB-TSOBE CAFE LOUNGE BAR,"2817 CONEY ISLAND AVE,BROOKLYN NY,11235",-73.9600229,40.5878486
1506,TSION CAFE & BAKERY,"763 SAINT NICHOLAS AVE,MANHATTAN NY,10031",-73.9435097,40.8263386
1507,TRYST LOUNGE,"7724 13 AVENUE,BROOKLYN NY,11228",-74.0093892,40.6188045
1508,TRYON PUBLIC HOUSE,"4740 BROADWAY,MANHATTAN NY,10040",-73.9277259,40.8649925
1509,TRUVA CAFE & GRILL,"2241 31ST ST,QUEENS NY,11105",-73.9125463,40.7745704
1510,TRUMP SOHO MAIN KITCHEN CAFETERIA,"246 SPRING STREET,MANHATTAN NY,10013",-74.0054946,40.7253319
1511,TRUMP GOLF LINKS AT FERRY POINT,"500 HUTCHINSON RIVER PKWY,BRONX NY,10465",-73.8336169,40.8109229
1512,TRUMP CAFE & GRILL,"725 5 AVENUE,MANHATTAN NY,10022",-73.973794,40.7624283
1513,TRUMP BAR,"725 5 AVENUE,MANHATTAN NY,10022",-73.973794,40.7624283
1514,TRUFFA WINE ROOM,"3535 RIVERDALE AVE,BRONX NY,10463",-73.9072858,40.8862056
1515,TRUFA RESTAURANT,"3431 BROADWAY,MANHATTAN NY,10031",-73.9531795,40.8231406
1516,TRUE TASTE RESTAURANT,"553 THROOP AVENUE,BROOKLYN NY,11216",-73.9407939,40.6831965
1517,TRUE FLAVORZ,"1073 LIBERTY AVE,BROOKLYN NY,11208",-73.8696846,40.6784948
1518,TRUE COLORS BAR,"7915 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799033,40.7480786
1519,TRUBURGER,"15003 CROSSBAY BLVD,QUEENS NY,11417",-73.8433131,40.6742819
1520,TRU-JERK,"21917 MERRICK BLVD,QUEENS NY,11413",-73.7494829,40.6793883
1521,TRU,"3519 DITMARS BLVD,QUEENS NY,11105",-73.908095,40.774609
1522,TROYKA/DA MIKELLE PALACE/MIKELLE CORNER/SUSHI & STEAK HOUSE,"10255 QUEENS BOULEVARD,QUEENS NY,11375",-73.8478412,40.7225597
1523,TROY,"2271 HYLAN BLVD,STATEN ISLAND NY,10306",-74.1052608,40.5755177
1524,TROPIX BAR & LOUNGE,"9532 QUEENS BOULEVARD,QUEENS NY,11374",-73.857892,40.7282648
1525,TROPICOSO CLUB,"1004 4 AVENUE,BROOKLYN NY,11230",-73.973572,40.626784
1526,TROPICANA RESTAURANT MEXICANO,"8811 ROOSEVELT AVE,QUEENS NY,11372",-73.8763065,40.7484626
1527,TROPICANA,"4042 JUNCTION BLVD,QUEENS NY,11368",-73.868953,40.7480206
1528,TROPICANA,"8811 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8763065,40.7484626
1529,TROPICAL TWIST BAKERY & RESTAURANT,"1081 FLATBUSH AVE,BROOKLYN NY,11226",-73.9576628,40.64421
1530,TROPICAL SPANISH RESTAURANT,"3771 BROADWAY,MANHATTAN NY,10032",-73.9455421,40.8340361
1531,TROPICAL SENSATION,"953 AMSTERDAM AVENUE,MANHATTAN NY,10025",-73.9650543,40.8008645
1532,TROPICAL ROTISSERIE CHICKEN,"2701 SEDGWICK AVENUE,BRONX NY,10468",-73.9034399,40.8700298
1533,TROPICAL RESTAURANT,"6227 FRESH POND ROAD,QUEENS NY,11379",-73.9005356,40.7130942
1534,TROPICAL RESTAURANT,"8818 JAMAICA AVENUE,QUEENS NY,11421",-73.8514698,40.6939313
1535,TROPICAL RESTAURANT,"6722 ROOSEVELT AVENUE,QUEENS NY,11377",-73.8973177,40.7460452
1536,TROPICAL REFLECTIONS BALLROOM LLC,"4501 GLENWOOD RD,BROOKLYN NY,11203",-73.933229,40.635151
1537,TROPICAL PARADISE RESTAURANT AND BAKERY,"888 UTICA AVE,BROOKLYN NY,11203",-73.930589,40.6514263
1538,TROPICAL PARADISE RESTAURANT & BAKERY,"1250 UTICA AVE,BROOKLYN NY,11203",-73.9295363,40.6420225
1539,TROPICAL JERK,"12-09 40 AVENUE,QUEENS NY,11101",-73.9422549,40.7559858
1540,TROPICAL JERK,"21795 HEMPSTEAD AVENUE,QUEENS NY,11429",-73.7307969,40.7120016
1541,TROPICAL JADE GARDEN RESTAURANT,"10801 LIBERTY AVENUE,QUEENS NY,11419",-73.8334953,40.684042
1542,TROPICAL ISLE CARRIBEAN RESTAURANT,"118-19 LIBERTY AVENUE,QUEENS NY,11419",-73.8244341,40.6863516
1543,TROPICAL II RESTAURANT,"3610 GREENPOINT AVENUE,QUEENS NY,11101",-73.9295391,40.7375105
1544,TROPICAL HOUSE BAKING CO.,"267 SCHENECTADY AVENUE,BROOKLYN NY,11213",-73.9336218,40.6694821
1545,TROPICAL GRILL RESTAURANT,"1917 7 AVENUE,MANHATTAN NY,10026",-73.9523687,40.8029364
1546,TROPICAL GRILL & RESTAURANT,"21452151 ADAM CLAYTON POWELL,MANHATTAN NY,10027",-73.9474317,40.8092343
1547,TROPICAL GRILL,"15341 ROCKAWAY BOULEVARD,QUEENS NY,11434",-73.7770031,40.6635449
1548,TROPICAL FLAVORS,"20408 HILLSIDE AVENUE,QUEENS NY,11423",-73.7606718,40.7202454
1549,TROPICAL FANTASY BAR AND LOUNGE,"9206 173 STREET,QUEENS NY,11433",-73.7866817,40.70765
1550,TROPICAL COFFEE SHOP,"584 ROCKAWAY AVENUE,BROOKLYN NY,11212",-73.9099433,40.6657107
1551,TROPICAL BAR RESTAURANT,"64 EAST  183 STREET,BRONX NY,10453",-73.9023275,40.8582704
1552,TROPICAL BAR,"302 IRVING AVENUE,BROOKLYN NY,11237",-73.914487,40.6988429
1553,TROPICAL 128,"128 ELIZABETH STREET,MANHATTAN NY,10013",-73.9951113,40.7194955
1554,TROPIC POLLO,"9059 CORONA AVENUE,QUEENS NY,11373",-73.873849,40.7426109
1555,TROPIC JUICE BAR & GRILL,"205 COURT STREET,BROOKLYN NY,11201",-73.9934777,40.6869612
1556,TROPHY,"351 BROADWAY,BROOKLYN NY,11211",-73.9557301,40.7078564
1557,TROOST,"1011 MANHATTAN AVENUE,BROOKLYN NY,11222",-73.955039,40.7334732
1558,TRONO DE MEXICO,"3819 69 STREET,QUEENS NY,11377",-73.8960966,40.7466281
1559,TRIX,"145 BEDFORD AVENUE,BROOKLYN NY,11211",-73.9562748,40.7189167
1560,TRIPP & COOPER CAFE,"80 DEKALB AVENUE,BROOKLYN NY,11201",-73.9798952,40.689706
1561,TRIPOLI RESTAURANT,"156 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9946391,40.6900597
1562,TRIPLE T PIZZA & BURGERS,"3740 BOSTON ROAD,BRONX NY,10469",-73.8400128,40.8804474
1563,TRIPLE SHOT WORLD ATLAS,"3739 CLINTON STREET,MANHATTAN NY,10002",-73.986664,40.7159955
1564,TRIPLE SHOT WORLD ATLAS,"2706 QUEENS PLAZA SOUTH,QUEENS NY,11101",-73.9396787,40.7500865
1565,TRIPLE D'S PLACE,"771A WASHINGTON AVE,BROOKLYN NY,11238",-73.9628229,40.6737817
1566,TRIPLE CROWN DINER,"24827 JAMAICA AVENUE,QUEENS NY,11426",-73.7172438,40.726527
1567,TRIPLE CROWN CAFE,"11000 ROCKAWAY BOULEVARD,QUEENS NY,11420",-73.8032797,40.6745381
1568,TRIPLE A DINER,"2061 2 AVENUE,MANHATTAN NY,10029",-73.942769,40.790568
1569,TRIPLE 8 RESTAURANT,"736 E 152ND ST,BRONX NY,10455",-73.9073629,40.8156955
1570,TRIONA'S BAR RESTAURANT,"192 3 AVENUE,MANHATTAN NY,10003",-73.9859271,40.7355354
1571,TRIONA'S,"237 SULLIVAN STREET,MANHATTAN NY,10012",-73.9993702,40.7298302
1572,TRIOMPHE,"49 WEST   44 STREET,MANHATTAN NY,10036",-73.9819585,40.7558788
1573,TRIO RESTAURANT & LOUNGE,"18134 UNION TPKE,QUEENS NY,11366",-73.7715394,40.731448
1574,TRIO PIZZA GRILL,"1907 AVENUE U,BROOKLYN NY,11229",-73.9523696,40.5994752
1575,TRINITY PUB,"229 EAST   84 STREET,MANHATTAN NY,10028",-73.953636,40.7771772
1576,TRINITY PLACE BAR & RESTAURANT,"115 BROADWAY,MANHATTAN NY,10006",-74.0114326,40.708882
1577,TRINIDAD GOLDEN PLACE,"788 NOSTRAND AVENUE,BROOKLYN NY,11216",-73.9505731,40.6718295
1578,TRINI ROTI HOUSE AND BAKERY,"1065 RUTLAND ROAD,BROOKLYN NY,11212",-73.924843,40.6639619
1579,TRINI HOME RESTAURANT,"1928 FULTON STREET,BROOKLYN NY,11233",-73.9220067,40.6786434
1580,TRINI GYUL ORIGINAL ROTI & WEST INDIAN FOOD,"11216 LIBERTY AVE,QUEENS NY,11419",-73.8296131,40.6851258
1581,TRINI DELITE ROTI SHOP,"12904 LIBERTY AVE,QUEENS NY,11419",-73.8160859,40.6893494
1582,TRINI BREAKFAST SHED II,"3209 CHURCH AVENUE,BROOKLYN NY,11226",-73.9473363,40.6510813
1583,TRINCITI ROTI SHOP & RESTAURANT,"11105 LEFFERTS BOULEVARD,QUEENS NY,11420",-73.8210003,40.6803276
1584,TRINCITI KITCHEN,"11111 LEFFERTS BOULEVARD,QUEENS NY,11420",-73.820867,40.68018
1585,TRIBECA'S CORNERSTONE,"327 GREENWICH STREET,MANHATTAN NY,10013",-74.0103305,40.7176332
1586,TRIBECA TREATS,"94 READE STREET,MANHATTAN NY,10013",-74.0078456,40.7157551
1587,TRIBECA TAVERN,"247 WEST BROADWAY,MANHATTAN NY,10013",-74.0055377,40.7196996
1588,TRIBECA TAPHOUSE,"363 GREENWICH STREET,MANHATTAN NY,10013",-74.0099857,40.7190871
1589,TRIBECA ROOFTOP (10 DESBROSSES STREET),"480 CANAL STREET,MANHATTAN NY,10013",-74.0085032,40.7235086
1590,TRIBECA PARK CAFE,"1 WALKER STREET,MANHATTAN NY,10013",-74.0054595,40.7198099
1591,TRIBECA KITCHEN,"200 CHURCH ST,MANHATTAN NY,10013",-74.0070909,40.716382
1592,TRIBECA GRILL,"375 GREENWICH STREET,MANHATTAN NY,10013",-74.009899,40.7196079
1593,TRIBECA GRAND HOTEL,"32 WHITE STREET,MANHATTAN NY,10013",-74.004803,40.7188541
1594,TRIBECA CINEMAS,"54 VARICK STREET,MANHATTAN NY,10013",-74.0062847,40.7215904
1595,TRIBECA BAGELS,"374 CANAL STREET,MANHATTAN NY,10013",-74.0044121,40.7208992
1596,TRIANGOLO PIZZERIA,"1017 MANHATTAN AVENUE,BROOKLYN NY,11222",-73.9550998,40.7336187
1597,TRI-COLOR RESTAURANT AND PIZZERIA,"191 GRAHAM AVENUE,BROOKLYN NY,11206",-73.9437031,40.708566
1598,TRI TIP GRILL,"89 EAST   42 STREET,MANHATTAN NY,10017",-73.9771667,40.7528054
1599,TRI TIP GRILL,"30 ROCKERFELLER PLAZA,MANHATTAN NY,10112",-73.9793564,40.7589426
1600,TREVI DELI,"48 UNION SQUARE EAST,MANHATTAN NY,10003",-73.9888977,40.7363885
1601,TRESTLE ON TENTH/ROCKET PIG,"242 10 AVENUE,MANHATTAN NY,10001",-74.0034316,40.748382
1602,TRES CORONAS BAR,"5323 ROOSEVELT AVENUE,QUEENS NY,11377",-73.910693,40.744894
1603,TRES CARNES,"817 2ND AVE,MANHATTAN NY,10017",-73.9716106,40.7510684
1604,TRES CARNES,"954 3RD AVE,MANHATTAN NY,10022",-73.9676235,40.7604963
1605,TRES CARNES,"688 6 AVE,MANHATTAN NY,10010",-73.9931407,40.7420003
1606,TRES CARNES,"101 MAIDEN LN,MANHATTAN NY,10038",-74.0067067,40.7070495
1607,TRENTA TRE PIZZERIA,"171 MADISON AVE,MANHATTAN NY,10016",-73.9830539,40.74714
1608,TRENDZ,"8906 DITMAS AVE,BROOKLYN NY,11236",-73.91507,40.647564
1609,TREND DINER,"1382 2 AVENUE,MANHATTAN NY,10021",-73.9585342,40.7681182
1610,TREMONT PIZZA,"924 E TREMONT AVE,BRONX NY,10460",-73.883516,40.8416892
1611,TRELAWNI PLACE,"1440 UTICA AVE,BROOKLYN NY,11203",-73.9293867,40.6370277
1612,TREEHOUSE,"417 MARCUS GARVEY BLVD,BROOKLYN NY,11216",-73.9377289,40.6828387
1613,TREEHAUS,"830 3 AVENUE,MANHATTAN NY,10022",-73.9707635,40.7563894
1614,TREEHAUS,"830 3RD AVE,MANHATTAN NY,10022",-73.9707635,40.7563894
1615,TREE,"190 1 AVENUE,MANHATTAN NY,10009",-73.983512,40.729627
1616,TREAT HOUSE,"1566 2ND AVE,MANHATTAN NY,10028",-73.953603,40.774745
1617,TREAT HOUSE,"452 AMSTERDAM AVE,MANHATTAN NY,10024",-73.9772915,40.7850435
1618,TRE STELLE,"37 WEST   24 STREET,MANHATTAN NY,10010",-73.9910053,40.7432901
1619,TRE SORELLE,"61 READE STREET,MANHATTAN NY,10007",-74.0066253,40.7147527
1620,TRE OTTO,"1410 MADISON AVE,MANHATTAN NY,10029",-73.9536063,40.7884052
1621,TRE GIOVANI PIZZA & PASTA,"548 LA GUARDIA PLACE,MANHATTAN NY,10012",-73.9988192,40.7285853
1622,TRE FONTANE,"222 AVENUE U,BROOKLYN NY,11223",-73.9757734,40.5964574
1623,TRE DICI,"128 WEST   26 STREET,MANHATTAN NY,10001",-73.9927646,40.745134
1624,TRE,"173 LUDLOW STREET,MANHATTAN NY,10002",-73.9877072,40.7218371
1625,TRAVESIAS CAFE/LA PARADA,"3830-34 E TREMONT AVE,BRONX NY,10465",-73.8205552,40.8244211
1626,TRAVEL TRADERS (MELITA PASTRIES),"1535 BROADWAY,MANHATTAN NY,10036",-73.9862475,40.7586115
1627,TRAVEL BAR,"520 COURT ST,BROOKLYN NY,11231",-73.9991527,40.676153
1628,TRATTORIA ZERO OTTO NOVE II,"15 WEST   21 STREET,MANHATTAN NY,10010",-73.9915684,40.7408377
1629,TRATTORIA TRE COLORI,"254 WEST   47 STREET,MANHATTAN NY,10036",-73.9867446,40.7599473
1630,TRATTORIA SPAGHETTO,"232 BLEECKER STREET,MANHATTAN NY,10014",-74.0025683,40.7301548
1631,TRATTORIA ROMANA,"1476 HYLAN BOULEVARD,STATEN ISLAND NY,10305",-74.0870679,40.5922864
1632,TRATTORIA PESCHE PASTA,"262 BLEECKER ST BSMT &1/FL,MANHATTAN NY,10014",-75.2273598,43.1011894
1633,TRATTORIA PESCE PASTA,"1562 3 AVENUE,MANHATTAN NY,10128",-73.9533992,40.7800523
1634,TRATTORIA PESCE PASTA,"625 COLUMBUS AVENUE,MANHATTAN NY,10024",-73.9697812,40.78912
1635,TRATTORIA NEO,"1501 149TH ST,QUEENS NY,11357",-73.815882,40.787061
1636,TRATTORIA LUCIA,"24763 JAMAICA AVENUE,QUEENS NY,11426",-73.7193256,40.7258384
1637,TRATTORIA L'INCONTRO,"2176 31 STREET,QUEENS NY,11105",-73.9125458,40.7745708
