FAMOUS PIZZA EXPRESS,"570 KAPPOCK ST,BRONX NY,10463"
FAMOUS PIZZA,"7512 37 AVENUE,QUEENS NY,11372"
FAMOUS ORIGINAL RAY'S PIZZA,"204 9 AVENUE,MANHATTAN NY,10011"
FAMOUS NEW YORK PIZZA,"430 JERSEY ST,STATEN ISLAND NY,10301"
FAMOUS JOE'S PIZZA,"7 CARMINE STREET,MANHATTAN NY,10014"
FAMOUS GOURMET,"4415 4 AVENUE,BROOKLYN NY,11220"
FAMOUS FRESH SUPER TACO & GRILL INC,"253 AVENUE X,BROOKLYN NY,11223"
FAMOUS FISH MARKET,"684 ST NICHOLAS AVENUE,MANHATTAN NY,10030"
FAMOUS FAMIGLIA PIZZERIA,"1284 1 AVENUE,MANHATTAN NY,10065"
FAMOUS FAMIGLIA PIZZERIA,"488 8 AVENUE,MANHATTAN NY,10001"
FAMOUS FAMIGLIA PIZZERIA,"686 8 AVENUE,MANHATTAN NY,10036"
FAMOUS FAMIGLIA PIZZERIA,"2859 BROADWAY,MANHATTAN NY,10025"
FAMOUS FAMIGLIA PIZZERIA,"4020 BROADWAY,MANHATTAN NY,10032"
FAMOUS FAMIGLIA PIZZERIA,"757 BROADWAY,MANHATTAN NY,10003"
FAMOUS FAMIGLIA PIZZERIA,"0 JFK INTERNATIONAL AIRPORT,QUEENS NY,11430"
FAMOUS FAMIGLIA PIZZERIA,"1398 MADISON AVENUE,MANHATTAN NY,10029"
FAMOUS FAMIGLIA PIZZERIA,"26 MURRAY STREET,MANHATTAN NY,10007"
FAMOUS FAMIGLIA PIZZERIA,"7420 ROOSEVELT AVE,QUEENS NY,11372"
FAMOUS FAMIGLIA,"734 AMSTERDAM AVENUE,MANHATTAN NY,10025"
FAMOUS FALAFEL,"14 GIFFORDS LN,STATEN ISLAND NY,10308"
FAMOUS CUISINE,"4606 8 AVENUE,BROOKLYN NY,11220"
FAMOUS CHICKEN & HERO EXPRESS,"6402 MYRTLE AVE,QUEENS NY,11385"
FAMOUS CHAMPION PIZZA,"123 ESSEX STREET,MANHATTAN NY,10002"
FAMOUS BEN'S PIZZA OF SOHO,"177 SPRING STREET,MANHATTAN NY,10012"
FAMOUS BAGEL BUFFET,"510 6 AVENUE,MANHATTAN NY,10011"
FAMOUS ANTHONY'S PIZZA,"171 WEST  167 STREET,BRONX NY,10452"
FAMOUS AMADEUS PIZZA,"408 8 AVENUE,MANHATTAN NY,10001"
FAMOUS AMADEUS PIZZA,"840 8 AVENUE,MANHATTAN NY,10019"
FAMOUS & FRESH 99 CENTS PIZZA,"91 AVENUE A,MANHATTAN NY,10009"
FAMILY PIZZA,"720 FLATBUSH AVENUE,BROOKLYN NY,11225"
FAMILY KITCHEN,"1709 FOSTER AVENUE,BROOKLYN NY,11230"
FAMILY KITCHEN,"10756 SUTPHIN BLVD,QUEENS NY,11435"
FAMILY GARDEN RESTAURANT,"292 LEONARD ST,BROOKLYN NY,11211"
FAMILY GARDEN,"111A DITMAS AVE,BROOKLYN NY,11218"
FAMILY FIRST DELI GROCERY,"2061 7TH AVE,MANHATTAN NY,10027"
FAMILY CORNER,"2102 31 STREET,QUEENS NY,11105"
FAMILY CHEF RESTAURANT & PIZZERIA,"1381 OGDEN AVE,BRONX NY,10452"
FAMIGLIA OF CHELSEA PIERS,"0 CHELSEA PIERS/PIER 61,MANHATTAN NY,10011"
FAME DINER,"6967 GRAND AVENUE,QUEENS NY,11378"
FALUCKA,"162 BLEECKER STREET,MANHATTAN NY,10012"
FALLSBURG BAGELS,"4602 16 AVENUE,BROOKLYN NY,11204"
FALANSAI,"112 HARRISON PLACE,BROOKLYN NY,11237"
FALAFEL TARBOOSH,"1701 AMSTERDAM AVENUE,MANHATTAN NY,10031"
FALAFEL OFF THE CORNER,"1764 1ST AVE,MANHATTAN NY,10128"
FALAFEL OFF THE CORNER,"1675 E 2ND ST,BROOKLYN NY,11223"
FALAFEL BROS,"711 FULTON ST,BROOKLYN NY,11217"
FALAFEL & HUMMUS HOUSE,"508 MARION ST,BROOKLYN NY,11233"
FAJITAS SUNRISE RESTAURANT,"5924 MYRTLE AVENUE,QUEENS NY,11385"
FAITHY'S KITCHEN,"3907 DYRE AVENUE,BRONX NY,10466"
FAITH PENN,"258 BUFFALO AVE,BROOKLYN NY,11213"
FAITH CHINESE FOOD,"170 GRAHAM AVENUE,BROOKLYN NY,11206"
FAIRYTALES LOUNGE,"500 WEST   48 STREET,MANHATTAN NY,10036"
FAIRFIELD INN SUITES PENN STATION,"325 W 33RD ST,MANHATTAN NY,10001"
FAIRFIELD INN MARRIOTT,"5230 VAN DAM STREET,QUEENS NY,11101"
FAIRFIELD INN CHELSEA,"116 WEST   28 STREET,MANHATTAN NY,10001"
FAIRFIELD INN B,"21 WEST   37 STREET,MANHATTAN NY,10018"
FAIRFIELD INN & SUITES NEW YORK MANHATTAN FINANCIAL DISTRICT,"161 FRONT ST,MANHATTAN NY,10038"
FAIRFIELD INN & SUITES,"181 3 AVENUE,BROOKLYN NY,11217"
FAIRFIELD INN & SUITES,"2927 40 ROAD,QUEENS NY,11101"
Fairfield Inn & Suites,"95 HENRY STREET,MANHATTAN NY,10002"
FAIRFIELD INN,"2866 COLLEGE POINT BOULEVARD,QUEENS NY,11354"
FAIRFIELD INN,"330 WEST   40 STREET,MANHATTAN NY,10018"
FAIR WEATHER BUSHWICK,"274 WYCKOFF AVE,BROOKLYN NY,11237"
FAIR FOLKS AND A GOAT,"330 E 11TH ST,MANHATTAN NY,10003"
FAIR FOLKS,"96 WEST HOUSTON STREET,MANHATTAN NY,10012"
FAILTE,"531 2 AVENUE,MANHATTAN NY,10016"
FAHR FRESH AND HOT PIZZA,"117 ORCHARD ST,MANHATTAN NY,10002"
FAFA CAFE,"252 W 37TH ST,MANHATTAN NY,10018"
FADA,"530 DRIGGS AVENUE,BROOKLYN NY,11211"
FACULTY HOUSE,"64 MORNINGSIDE DRIVE,MANHATTAN NY,10027"
