,Var1,Freq
170,Queensbridge-Ravenswood-Long Island City,0.012136577
130,Rego Park,0.004109091
161,Richmond Hill,0.008819154
132,Ridgewood,0.00751076
88,Rikers Island,0.025254081
122,Rosedale,0.006843729
188,Rossville-Woodrow,0.002909018
50,Rugby-Remsen Village,0.009737548
82,Schuylerville-Throgs Neck-Edgewater Park,0.007309561
4,Seagate-Coney Island,0.014091545
2,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.007339569
106,SoHo-TriBeCa-Civic Center-Little Italy,0.022541751
83,Soundview-Bruckner,0.011787327
58,Soundview-Castle Hill-Clason Point-Harding Park,0.01133829
119,South Jamaica,0.009819878
162,South Ozone Park,0.0088699
120,Springfield Gardens North,0.009570088
121,Springfield Gardens South-Brookville,0.010954223
67,Spuyten Duyvil-Kingsbridge,0.009648888
125,St. Albans,0.007299699
191,Stapleton-Rosebank,0.009674273
48,Starrett City,0.006473249
173,Steinway,0.005530499
16,Stuyvesant Heights,0.014472027
117,Stuyvesant Town-Cooper Village,0.003110135
15,Sunset Park East,0.005751469
13,Sunset Park West,0.008137333
185,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.003131753
101,Turtle Bay-East Midtown,0.010662699
73,University Heights-Morris Heights,0.008026843
116,Upper East Side-Carnegie Hill,0.01140497
96,Upper West Side,0.006668239
66,Van Cortlandt Village,0.007241275
74,Van Nest-Morris Park-Westchester Square,0.009601967
114,Washington Heights North,0.007554336
115,Washington Heights South,0.007247267
5,West Brighton,0.017903309
86,West Concourse,0.016053427
57,West Farms-Bronx River,0.011974522
184,West New Brighton-New Brighton-St. George,0.011052733
105,West Village,0.017935551
84,Westchester-Unionport,0.00967871
179,Westerleigh,0.003925295
156,Whitestone,0.00479416
79,Williamsbridge-Olinville,0.011381559
34,Williamsburg,0.003472645
19,Windsor Terrace,0.00496212
160,Woodhaven,0.006884971
85,Woodlawn-Wakefield,0.008274206
168,Woodside,0.005590048
111,Yorkville,0.004428652
