MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
1-00564-0036,"832 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",GREENWICH VILLAGE-CENTRAL,D0-ELEVATOR,21,1896,74859,2465107,32.93,610101,8.15,1855006,13793000,184.25,1-00564-0004,"107 UNIVERSITY PLACE
New York, NY
(40.756053999992105, -73.9869510002884)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1940,43395,1170567,26.97,321896,7.42,848671,6127000,141.19,0.08,1-00563-0026,"40 12 STREET
New York, NY
(40.67113588532825, -73.99568550970562)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,25,1900,24198,940947,38.89,214798,8.88,726149,5493000,227,0.09,, , , , , , , , , , , , , , 
1-00564-0041,"840 BROADWAY
New York, NY
(40.733813587170914, -73.99097099233381)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,12,1901,40572,1600971,39.46,411400,10.14,1189571,8994000,221.68,1-00563-0026,"40 12 STREET
New York, NY
(40.67113588532825, -73.99568550970562)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,25,1900,24198,940947,38.89,214798,8.88,726149,5493000,227,0.09,1-00558-0018,"122 13 STREET
New York, NY
(40.607168013140694, -74.0090696450352)",GREENWICH VILLAGE-CENTRAL,D3-ELEVATOR,16,1900,10225,440022,43.03,151268,14.79,288754,2176000,212.81,0.1,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,"49,408","1,949,681",39.46,"500,971",10.14,"1,448,710","10,954,000",221.7,0.17
1-00564-0054,"120 4 AVENUE
New York, NY
(40.73278034789236, -73.99005653177812)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,182,1963,135315,5148736,38.05,1867347,13.8,3281389,24836000,183.54,1-00896-0048,"135 3 AVENUE
New York, NY
(40.73380459395065, -73.9868161245584)",GRAMERCY,D6-ELEVATOR,221,1962,158505,5752146,36.29,1955952,12.34,3796194,27989000,176.58,0.24,1-00571-0025,"120 UNIVERSITY PLACE
New York, NY
(40.734694922759616, -73.9921221245313)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,2256204,38.05,818227,13.8,1437977,10884000,183.54,0.18,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,"132,420","5,109,988",38.59,"926,559",7,"4,183,429","31,652,000",239.03,0.38
1-00566-0001,"9 5 AVENUE
New York, NY
(40.73264446853284, -73.99605216179935)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,273,1955,392071,15878876,40.5,5457628,13.92,10421248,78734000,200.82,1-00548-0001,"1 UNIVERSITY PLACE
New York, NY
(40.73088179735544, -73.99541364315854)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,272,1930,218985,8330796,38.04,2880610,13.15,5450186,41252000,188.38,0.09,1-00572-0062,"39 8 STREET
New York, NY
(40.57281077580477, -74.11630317095549)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,37,1923,16777,720755,42.96,246216,14.68,474539,3146000,187.52,0.14,, , , , , , , , , , , , , , 
1-00566-0018,"20 UNIVERSITY PLACE
New York, NY
(40.73194299734996, -73.99446935502777)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,330,1964,420000,17031000,40.55,3943800,9.39,13087200,98876000,235.42,1-00548-0001,"1 UNIVERSITY PLACE
New York, NY
(40.73088179735544, -73.99541364315854)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,272,1930,218985,8330796,38.04,2880610,13.15,5450186,41252000,188.38,0.09,1-00827-0001,"55 25 STREET
New York, NY
(40.60303339330612, -73.99865649456022)",FLATIRON,D7-ELEVATOR,410,2005,428340,19115775,44.63,4182746,9.77,14933029,112405000,262.42,0.83,1-00643-0001,521 WEST STREET,GREENWICH VILLAGE-WEST,D5-ELEVATOR,279,1930,"389,376","15,787,781",40.55,"3,655,790",9.39,"12,131,991","91,659,000",235.4,0.85
1-00567-0007,"33 5 AVENUE
New York, NY
(40.73343145510375, -73.99544095644846)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,63,1924,65028,2225908,34.23,559241,8.6,1666667,12350000,189.92,1-00567-0005,"29 5 AVENUE
New York, NY
(40.733193054970684, -73.99565646010643)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,556098,34.23,139782,8.6,416316,3085000,189.88,0,1-00573-0019,"42 10 STREET
New York, NY
(40.57186557465878, -74.11484711051229)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,47,1917,39782,1159167,29.14,449636,11.3,709531,5324000,133.83,0.15,1-00572-0043,12 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,34,1910,"19,545","680,400",34.81,"217,013",11.1,"463,387","3,430,000",175.49,0.15
1-00567-0019,"40 UNIVERSITY PLACE
New York, NY
(40.732428631245796, -73.99405566689427)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,83,1926,101840,3370110,33.09,1336141,13.12,2033969,15391000,151.13,1-00585-0001,"464 HUDSON STREET
New York, NY
(40.7319340041297, -74.00656523632188)",GREENWICH VILLAGE-WEST,D7-ELEVATOR,137,1900,97290,3746301,38.51,824416,8.47,2921885,22107000,227.23,0.57,1-00545-0059,"752 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8075291,54.65,2232726,15.11,5842565,43598000,295.03,0.23,, , , , , , , , , , , , , , 
1-00568-0004,"39 5 AVENUE
New York, NY
(40.733741641408585, -73.99525176519325)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,60,1922,62409,2353443,37.71,556688,8.92,1796755,13603000,217.97,1-00567-0005,"29 5 AVENUE
New York, NY
(40.733193054970684, -73.99565646010643)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,556098,34.23,139782,8.6,416316,3085000,189.88,0.05,1-00570-0008,"6 13 STREET
New York, NY
(40.60946981080019, -74.00665471659742)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,1949681,39.46,500971,10.14,1448710,10954000,221.7,0.1,1-00563-0043,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,42,1970,"23,353","880,526",37.71,"208,260",8.92,"672,266","5,089,000",217.92,0.11
1-00568-0006,"41 5 AVENUE
New York, NY
(40.7338585532724, -73.99516183299033)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,92,1924,95117,3753317,39.46,964486,10.14,2788831,21086000,221.68,1-00562-0044,"25 10 STREET
New York, NY
(40.57214232458885, -74.11467138012644)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1893259,41.61,619008,13.61,1274251,9620000,211.45,0.11,1-00570-0008,"6 13 STREET
New York, NY
(40.60946981080019, -74.00665471659742)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,1949681,39.46,500971,10.14,1448710,10954000,221.7,0.1,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,"63,943","2,450,267",38.32,"838,784",13.12,"1,611,483","12,194,000",190.7,0.15
1-00568-0011,"16 11 STREET
New York, NY
(40.671253783852315, -73.99414260053761)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,17,1900,18616,608743,32.7,189511,10.18,419232,3025000,162.49,1-00543-0048,"136 4 STREET
New York, NY
(40.67670288966745, -73.99318886731501)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,667901,32,198944,9.53,468957,3496000,167.48,0.39,1-00573-0011,"60 10 STREET
New York, NY
(40.57141592240969, -74.1152884885971)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,27,1910,20797,694585,33.4,224945,10.82,469640,3489000,167.76,0.15,, , , , , , , , , , , , , , 
1-00568-0024,"60 UNIVERSITY PLACE
New York, NY
(40.73282433293872, -73.99371392452315)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,62,1926,56252,2340646,41.61,765590,13.61,1575056,11891000,211.39,1-00562-0044,"25 10 STREET
New York, NY
(40.57214232458885, -74.11467138012644)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1893259,41.61,619008,13.61,1274251,9620000,211.45,0.11,1-00575-0077,"55 11 STREET
New York, NY
(40.67104440780627, -73.99357442338518)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2450267,38.32,838784,13.12,1611483,12194000,190.7,0.15,1-00572-0062,39 WEST 8 STREET,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,37,1923,"16,777","720,755",42.96,"246,216",14.68,"474,539","3,146,000",187.52,0.18
1-00569-0001,"43 5 AVENUE
New York, NY
(40.734191302423255, -73.99492800926271)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,42,1905,64218,1996538,31.09,541358,8.43,1455180,10868000,169.24,1-00576-0076,"71 12 STREET
New York, NY
(40.67113148376342, -73.99553946975146)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,1088095,28.77,228499,6.04,859596,6455000,170.66,0.16,1-00573-0011,"60 10 STREET
New York, NY
(40.57141592240969, -74.1152884885971)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,27,1910,20797,694585,33.4,224945,10.82,469640,3489000,167.76,0.18,, , , , , , , , , , , , , , 
1-00569-0003,"45 5 AVENUE
New York, NY
(40.73430821428707, -73.9948380770598)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,65,1925,45248,1433909,31.69,450218,9.95,983691,7338000,162.17,1-00576-0076,"71 12 STREET
New York, NY
(40.67113148376342, -73.99553946975146)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,1088095,28.77,228499,6.04,859596,6455000,170.66,0.16,1-00567-0005,"29 5 AVENUE
New York, NY
(40.733193054970684, -73.99565646010643)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,556098,34.23,139782,8.6,416316,3085000,189.88,0.09,, , , , , , , , , , , , , , 
1-00569-0005,"49 5 AVENUE
New York, NY
(40.734524051574056, -73.9946761990945)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,89,1929,121128,4063844,33.55,1343310,11.09,2720534,20203000,166.79,1-00570-0017,"24 13 STREET
New York, NY
(40.609120582129655, -74.00701664449235)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,25,1910,27760,935230,33.69,315404,11.36,619826,4602000,165.78,0.05,1-00573-0011,"60 10 STREET
New York, NY
(40.57141592240969, -74.1152884885971)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,27,1910,20797,694585,33.4,224945,10.82,469640,3489000,167.76,0.18,, , , , , , , , , , , , , , 
1-00572-0017,"38 9 STREET
New York, NY
(40.57228696956105, -74.11560277437678)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,54,1900,73098,2441473,33.4,790920,10.82,1650553,12261000,167.73,1-00572-0049,"11 8 STREET
New York, NY
(40.57334904814192, -74.11578722304948)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,36,1920,30858,1349183,43.72,342834,11.11,1006349,7580000,245.64,0,1-00573-0019,"42 10 STREET
New York, NY
(40.57186557465878, -74.11484711051229)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,47,1917,39782,1159167,29.14,449636,11.3,709531,5324000,133.83,0.05,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,27,1910,"20,797","694,585",33.4,"224,945",10.82,"469,640","3,489,000",167.76,0.05
1-00573-0039,"28 5 AVENUE
New York, NY
(40.73324701429249, -73.995611494005)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,153,1923,168806,7064531,41.85,1944645,11.52,5119886,38644000,228.93,1-00572-0038,"20 5 AVENUE
New York, NY
(40.732890573480205, -73.9959185189999)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5109988,38.59,926559,7,4183429,31652000,239.03,0.05,1-00610-0060,"1 CHRISTOPHER STREET
New York, NY
(40.73402942445796, -73.99997320584708)",GREENWICH VILLAGE-WEST,D6-ELEVATOR,134,1931,102354,4479066,43.76,1210199,11.82,3268867,24621000,240.55,0.17,1-00606-0009,30 GREENWICH AVENUE,GREENWICH VILLAGE-WEST,D8-ELEVATOR,51,1920,"37,736","1,579,342",41.85,"434,752",11.52,"1,144,590","8,639,000",228.93,0.17
1-00573-0043,"24 5 AVENUE
New York, NY
(40.733040170225706, -73.99576437874998)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,426,1926,269119,10312640,38.32,2712720,10.08,7599920,57510000,213.7,1-00572-0038,"20 5 AVENUE
New York, NY
(40.732890573480205, -73.9959185189999)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5109988,38.59,926559,7,4183429,31652000,239.03,0.05,1-00548-0001,"1 UNIVERSITY PLACE
New York, NY
(40.73088179735544, -73.99541364315854)",GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,272,1930,218985,8330796,38.04,2880610,13.15,5450186,41252000,188.38,0.24,, , , , , , , , , , , , , , 
1-00573-0054,"23 9 STREET
New York, NY
(40.572703123445464, -74.1152908090676)",GREENWICH VILLAGE-CENTRAL,C6-WALK-UP,18,1870,12632,531681,42.09,170153,13.47,361528,2728000,215.96,1-00552-0033,"143 4 STREET
New York, NY
(40.67672111201684, -73.99308770108742)",GREENWICH VILLAGE-CENTRAL,C7-WALK-UP,12,1900,10570,480580,45.47,188046,17.79,292534,2201000,208.23,0.21,1-00537-0010,"226 THOMPSON STREET
New York, NY
(40.729272010922955, -73.99894797873367)",GREENWICH VILLAGE-CENTRAL,C7-WALK-UP,17,1900,10422,459827,44.12,136848,13.13,322979,2432000,233.35,0.35,, , , , , , , , , , , , , , 
1-00573-0075,"61 9 STREET
New York, NY
(40.571897751589795, -74.11607204746716)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,61,1926,56527,1951312,34.52,556791,9.85,1394521,10327000,182.69,1-00572-0043,"12 5 AVENUE
New York, NY
(40.73244661768638, -73.99619605332401)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,34,1910,19545,680400,34.81,217013,11.1,463387,3430000,175.49,0.05,1-00567-0005,"29 5 AVENUE
New York, NY
(40.733193054970684, -73.99565646010643)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,556098,34.23,139782,8.6,416316,3085000,189.88,0.15,, , , , , , , , , , , , , , 
1-00574-0039,"40 5 AVENUE
New York, NY
(40.733831573611496, -73.99518881265124)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,76,1929,141877,4108758,28.96,1230074,8.67,2878684,21608000,152.3,1-00572-0038,"20 5 AVENUE
New York, NY
(40.732890573480205, -73.9959185189999)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5109988,38.59,926559,7,4183429,31652000,239.03,0.1,,, , ,,,,,,,,,,,,, , , , , , , , , , , , , , 
1-00574-0067,"45 10 STREET
New York, NY
(40.571836693445924, -74.11496400568882)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,90,1957,77829,2604937,33.47,1029678,13.23,1575259,11700000,150.33,1-00574-0072,"57 10 STREET
New York, NY
(40.57147709198546, -74.11531839339372)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,23,1915,13278,490592,36.95,184463,13.89,306129,2253000,169.68,0,1-00573-0019,"42 10 STREET
New York, NY
(40.57186557465878, -74.11484711051229)",GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,47,1917,39782,1159167,29.14,449636,11.3,709531,5324000,133.83,0.05,, , , , , , , , , , , , , , 
1-00575-0057,"13 11 STREET
New York, NY
(40.6713128104608, -73.9941302493548)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,48,1923,51113,1862047,36.43,535664,10.48,1326383,9776000,191.26,1-00576-0076,"71 12 STREET
New York, NY
(40.67113148376342, -73.99553946975146)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,1088095,28.77,228499,6.04,859596,6455000,170.66,0.05,1-00570-0008,"6 13 STREET
New York, NY
(40.60946981080019, -74.00665471659742)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,1949681,39.46,500971,10.14,1448710,10954000,221.7,0.16,, , , , , , , , , , , , , , 
1-00575-0072,"45 11 STREET
New York, NY
(40.67110831320337, -73.99370676290832)",GREENWICH VILLAGE-CENTRAL,C6-WALK-UP,34,1846,27308,1022958,37.46,245772,9,777186,5714000,209.24,1-00575-0075,"51 11 STREET
New York, NY
(40.671069969948725, -73.99362735916051)",GREENWICH VILLAGE-CENTRAL,C5-WALK-UP,19,1900,8628,319982,37.09,102387,11.87,217595,1601000,185.56,0,1-00572-0059,"31 8 STREET
New York, NY
(40.57296360561303, -74.11615389532882)",GREENWICH VILLAGE-CENTRAL,C5-WALK-UP,14,1900,8358,361818,43.29,119436,14.29,242382,1727000,206.63,0.14,, , , , , , , , , , , , , , 
1-00576-0001,"486 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,113,1960,131126,5035238,38.4,1576135,12.02,3459103,26174000,199.61,1-00571-0025,"120 UNIVERSITY PLACE
New York, NY
(40.734694922759616, -73.9921221245313)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,2256204,38.05,818227,13.8,1437977,10884000,183.54,0.16,1-00819-0059,"30 18 STREET
New York, NY
(40.66644975996648, -73.9974468766741)",FLATIRON,D7-ELEVATOR,100,2005,98690,3824599,38.75,1010469,10.24,2814130,21289000,215.72,0.25,, , , , , , , , , , , , , , 
1-00576-0022,"30 13 STREET
New York, NY
(40.60900417252729, -74.00713728717118)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,30,1900,60692,2242569,36.95,843012,13.89,1399557,10302000,169.74,1-00575-0077,"55 11 STREET
New York, NY
(40.67104440780627, -73.99357442338518)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2450267,38.32,838784,13.12,1611483,12194000,190.7,0.05,1-00570-0017,"24 13 STREET
New York, NY
(40.609120582129655, -74.00701664449235)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,25,1910,27760,935230,33.69,315404,11.36,619826,4602000,165.78,0.15,1-00574-0072,57 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,23,1915,"13,278","490,592",36.95,"184,463",13.89,"306,129","2,253,000",169.68,0.1
1-00576-0025,"37 12 STREET
New York, NY
(40.671524613114826, -73.99636643031045)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,106,1961,235875,7979651,33.83,1922381,8.15,6057270,44955000,190.59,1-00816-0042,"92 5 AVENUE
New York, NY
(40.73647558037766, -73.99326426350848)",FLATIRON,D6-ELEVATOR,223,1962,180000,5232885,29.07,1673391,9.3,3559494,26713000,148.41,0.11,1-00572-0038,"20 5 AVENUE
New York, NY
(40.732890573480205, -73.9959185189999)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5109988,38.59,926559,7,4183429,31652000,239.03,0.19,, , , , , , , , , , , , , , 
1-00576-0049,"13 12 STREET
New York, NY
",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,82,1959,71215,2855009,40.09,877369,12.32,1977640,14946000,209.87,1-00575-0077,"55 11 STREET
New York, NY
",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2450267,38.32,838784,13.12,1611483,12194000,190.7,0.05,1-00606-0009,"30 GREENWICH AVENUE
New York, NY
",GREENWICH VILLAGE-WEST,D8-ELEVATOR,51,1920,37736,1579342,41.85,434752,11.52,1144590,8639000,228.93,0.19,, , , , , , , , , , , , , , 
1-00576-0056,"31 12 STREET
New York, NY
(40.67154152036768, -73.99639782949434)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,23,1900,44586,1489172,33.4,482421,10.82,1006751,7478000,167.72,1-00576-0076,"71 12 STREET
New York, NY
(40.67113148376342, -73.99553946975146)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,1088095,28.77,228499,6.04,859596,6455000,170.66,0,1-00570-0008,"6 13 STREET
New York, NY
(40.60946981080019, -74.00665471659742)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,1949681,39.46,500971,10.14,1448710,10954000,221.7,0.15,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,27,1910,"20,797","694,585",33.4,"224,945",10.82,"469,640","3,489,000",167.76,0.14
1-00576-0066,"49 12 STREET
New York, NY
(40.67142982636263, -73.9961710261628)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,80,1952,67421,2562000,38,820600,12.17,1741400,13180000,195.49,1-00575-0077,"55 11 STREET
New York, NY
(40.67104440780627, -73.99357442338518)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2450267,38.32,838784,13.12,1611483,12194000,190.7,0.05,1-00576-0076,"71 12 STREET
New York, NY
(40.67113148376342, -73.99553946975146)",GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,46,1922,37824,1088095,28.77,228499,6.04,859596,6455000,170.66,0,1-00571-0025,120 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,"59,299","2,256,204",38.05,"818,227",13.8,"1,437,977","10,884,000",183.54,0.16
1-00577-0024,"22 14 STREET
New York, NY
(40.608682215807825, -74.00615679649859)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,186,1960,151500,5764575,38.05,2090700,13.8,3673875,27807000,183.54,1-00817-0001,"552 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",FLATIRON,D9-ELEVATOR,111,1973,101231,3088232,30.51,809878,8,2278354,17036000,168.29,0.11,1-00571-0025,"120 UNIVERSITY PLACE
New York, NY
(40.734694922759616, -73.9921221245313)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,2256204,38.05,818227,13.8,1437977,10884000,183.54,0.15,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,"63,943","2,450,267",38.32,"838,784",13.12,"1,611,483","12,194,000",190.7,0.1
1-00577-0030,"18 14 STREET
New York, NY
(40.60875953863567, -74.00607666193154)",GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,86,1962,100315,3816986,38.05,1384347,13.8,2432639,18412000,183.54,1-00817-0001,"552 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",FLATIRON,D9-ELEVATOR,111,1973,101231,3088232,30.51,809878,8,2278354,17036000,168.29,0.11,1-00571-0025,"120 UNIVERSITY PLACE
New York, NY
(40.734694922759616, -73.9921221245313)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,2256204,38.05,818227,13.8,1437977,10884000,183.54,0.15,1-00819-0059,30 WEST 18 STREET,FLATIRON,D7-ELEVATOR,100,2005,"98,690","3,824,599",38.75,"1,010,469",10.24,"2,814,130","21,289,000",215.72,0.2
1-00577-0042,"74 5 AVENUE
New York, NY
(40.735567265128054, -73.9939297618102)",GREENWICH VILLAGE-CENTRAL,D0-ELEVATOR,38,1910,93396,3298747,35.32,1159978,12.42,2138769,15813000,169.31,1-00556-0015,"112 11 STREET
New York, NY
(40.67064029207492, -73.99287214118758)",GREENWICH VILLAGE-CENTRAL,C4-WALK-UP,371,1900,117012,5822000,49.76,1640326,14.02,4181674,31337000,267.81,0.46,1-00572-0038,"20 5 AVENUE
New York, NY
(40.732890573480205, -73.9959185189999)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5109988,38.59,926559,7,4183429,31652000,239.03,0.24,, , , , , , , , , , , , , , 
